# X(km) Y(km) Z(km) Density(kg/m3)
-10.000000 19.523810 0.000000 0.000417
-10.000000 19.523810 2.000000 0.015948
-10.000000 19.523810 4.000000 0.037503
-10.000000 19.523810 6.000000 0.066778
-10.000000 19.523810 8.000000 0.102239
-10.000000 19.523810 10.000000 0.140695
-10.000000 19.523810 12.000000 0.178209
-10.000000 22.476190 0.000000 0.000428
-10.000000 22.476190 2.000000 0.016841
-10.000000 22.476190 4.000000 0.039208
-10.000000 22.476190 6.000000 0.069121
-10.000000 22.476190 8.000000 0.105046
-10.000000 22.476190 10.000000 0.143850
-10.000000 22.476190 12.000000 0.181626
-10.000000 25.428571 0.000000 0.000435
-10.000000 25.428571 2.000000 0.018058
-10.000000 25.428571 4.000000 0.040832
-10.000000 25.428571 6.000000 0.070325
-10.000000 25.428571 8.000000 0.105454
-10.000000 25.428571 10.000000 0.143459
-10.000000 25.428571 12.000000 0.180591
-10.000000 28.380952 0.000000 0.000418
-10.000000 28.380952 2.000000 0.017550
-10.000000 28.380952 4.000000 0.039621
-10.000000 28.380952 6.000000 0.068136
-10.000000 28.380952 8.000000 0.102097
-10.000000 28.380952 10.000000 0.138901
-10.000000 28.380952 12.000000 0.174959
-10.000000 31.333333 0.000000 0.000386
-10.000000 31.333333 2.000000 0.015620
-10.000000 31.333333 4.000000 0.036075
-10.000000 31.333333 6.000000 0.063218
-10.000000 31.333333 8.000000 0.095803
-10.000000 31.333333 10.000000 0.131139
-10.000000 31.333333 12.000000 0.165770
-10.000000 34.285714 0.000000 0.000362
-10.000000 34.285714 2.000000 0.014495
-10.000000 34.285714 4.000000 0.033536
-10.000000 34.285714 6.000000 0.058870
-10.000000 34.285714 8.000000 0.089329
-10.000000 34.285714 10.000000 0.122404
-10.000000 34.285714 12.000000 0.154905
-10.000000 37.238095 0.000000 0.000351
-10.000000 37.238095 2.000000 0.014612
-10.000000 37.238095 4.000000 0.032852
-10.000000 37.238095 6.000000 0.056255
-10.000000 37.238095 8.000000 0.084012
-10.000000 37.238095 10.000000 0.114115
-10.000000 37.238095 12.000000 0.143822
-10.000000 40.190476 0.000000 0.000342
-10.000000 40.190476 2.000000 0.014588
-10.000000 40.190476 4.000000 0.032176
-10.000000 40.190476 6.000000 0.053948
-10.000000 40.190476 8.000000 0.079196
-10.000000 40.190476 10.000000 0.106315
-10.000000 40.190476 12.000000 0.133063
-10.000000 43.142857 0.000000 0.000335
-10.000000 43.142857 2.000000 0.014274
-10.000000 43.142857 4.000000 0.031154
-10.000000 43.142857 6.000000 0.051488
-10.000000 43.142857 8.000000 0.074517
-10.000000 43.142857 10.000000 0.098897
-10.000000 43.142857 12.000000 0.122818
-10.000000 46.095238 0.000000 0.000338
-10.000000 46.095238 2.000000 0.014491
-10.000000 46.095238 4.000000 0.030818
-10.000000 46.095238 6.000000 0.049622
-10.000000 46.095238 8.000000 0.070373
-10.000000 46.095238 10.000000 0.092068
-10.000000 46.095238 12.000000 0.113275
-10.000000 49.047619 0.000000 0.000343
-10.000000 49.047619 2.000000 0.014852
-10.000000 49.047619 4.000000 0.030734
-10.000000 49.047619 6.000000 0.048082
-10.000000 49.047619 8.000000 0.066639
-10.000000 49.047619 10.000000 0.085789
-10.000000 49.047619 12.000000 0.104451
-10.000000 52.000000 0.000000 0.000340
-10.000000 52.000000 2.000000 0.014830
-10.000000 52.000000 4.000000 0.030157
-10.000000 52.000000 6.000000 0.046224
-10.000000 52.000000 8.000000 0.062918
-10.000000 52.000000 10.000000 0.079891
-10.000000 52.000000 12.000000 0.096355
-7.166667 -10.000000 0.000000 0.000337
-7.166667 -10.000000 2.000000 0.015441
-7.166667 -10.000000 4.000000 0.030807
-7.166667 -10.000000 6.000000 0.046199
-7.166667 -10.000000 8.000000 0.061779
-7.166667 -10.000000 10.000000 0.077577
-7.166667 -10.000000 12.000000 0.093069
-7.166667 -7.047619 0.000000 0.000347
-7.166667 -7.047619 2.000000 0.016829
-7.166667 -7.047619 4.000000 0.033111
-7.166667 -7.047619 6.000000 0.049223
-7.166667 -7.047619 8.000000 0.065881
-7.166667 -7.047619 10.000000 0.083338
-7.166667 -7.047619 12.000000 0.100876
-7.166667 -4.095238 0.000000 0.000341
-7.166667 -4.095238 2.000000 0.018354
-7.166667 -4.095238 4.000000 0.034760
-7.166667 -4.095238 6.000000 0.050764
-7.166667 -4.095238 8.000000 0.068468
-7.166667 -4.095238 10.000000 0.088209
-7.166667 -4.095238 12.000000 0.108633
