# X(km) Y(km) gz_pred(mGal)
21.300000 15.330000 7.519541
21.300000 16.810000 9.235146
21.300000 18.300000 11.086485
21.300000 19.780000 12.799531
21.300000 21.260000 13.997021
21.300000 22.750000 14.336623
21.300000 24.230000 13.676990
21.300000 25.710000 12.262387
21.300000 27.200000 10.462599
21.300000 28.680000 8.641996
21.300000 30.160000 7.008757
21.300000 31.650000 5.650273
21.300000 33.130000 4.549235
21.300000 34.610000 3.678264
21.300000 36.100000 2.990855
21.300000 37.580000 2.449201
21.300000 39.060000 2.029754
21.300000 40.540000 1.689101
21.300000 42.030000 1.418545
21.300000 43.510000 1.200077
22.790000 0.500000 1.108837
22.790000 1.980000 1.300587
22.790000 3.470000 1.548380
22.790000 4.950000 1.859136
22.790000 6.430000 2.241675
22.790000 7.920000 2.731726
22.790000 9.400000 3.350267
22.790000 10.880000 4.144100
22.790000 12.370000 5.155878
22.790000 13.850000 6.421674
22.790000 15.330000 7.979785
22.790000 16.810000 9.823222
22.790000 18.300000 11.823372
22.790000 19.780000 13.667158
22.790000 21.260000 14.951661
22.790000 22.750000 15.321020
22.790000 24.230000 14.609678
22.790000 25.710000 13.096074
22.790000 27.200000 11.150382
22.790000 28.680000 9.187185
22.790000 30.160000 7.429338
22.790000 31.650000 5.967720
22.790000 33.130000 4.789789
22.790000 34.610000 3.860957
22.790000 36.100000 3.131334
22.790000 37.580000 2.560493
22.790000 39.060000 2.109633
22.790000 40.540000 1.749240
22.790000 42.030000 1.462242
22.790000 43.510000 1.231919
24.270000 0.500000 1.131233
24.270000 1.980000 1.329585
24.270000 3.470000 1.587509
24.270000 4.950000 1.913131
24.270000 6.430000 2.308673
24.270000 7.920000 2.819135
24.270000 9.400000 3.466146
24.270000 10.880000 4.301095
24.270000 12.370000 5.357388
24.270000 13.850000 6.689274
24.270000 15.330000 8.329549
24.270000 16.810000 10.275215
24.270000 18.300000 12.367331
24.270000 19.780000 14.299579
24.270000 21.260000 15.639490
24.270000 22.750000 16.015132
24.270000 24.230000 15.282339
24.270000 25.710000 13.692965
24.270000 27.200000 11.659965
24.270000 28.680000 9.602534
24.270000 30.160000 7.748435
24.270000 31.650000 6.213806
24.270000 33.130000 4.971616
24.270000 34.610000 3.996592
24.270000 36.100000 3.233959
24.270000 37.580000 2.638775
24.270000 39.060000 2.165904
24.270000 40.540000 1.791570
24.270000 42.030000 1.496117
24.270000 43.510000 1.260616
25.760000 0.500000 1.143360
25.760000 1.980000 1.349508
25.760000 3.470000 1.610031
25.760000 4.950000 1.938121
25.760000 6.430000 2.350642
25.760000 7.920000 2.874075
25.760000 9.400000 3.536835
25.760000 10.880000 4.388922
25.760000 12.370000 5.482335
25.760000 13.850000 6.854183
25.760000 15.330000 8.542755
25.760000 16.810000 10.537604
25.760000 18.300000 12.698830
25.760000 19.780000 14.684185
25.760000 21.260000 16.069265
25.760000 22.750000 16.465122
25.760000 24.230000 15.704625
25.760000 25.710000 14.073252
25.760000 27.200000 11.971941
25.760000 28.680000 9.844708
25.760000 30.160000 7.946010
25.760000 31.650000 6.364386
25.760000 33.130000 5.090097
25.760000 34.610000 4.086598
25.760000 36.100000 3.300488
25.760000 37.580000 2.688904
25.760000 39.060000 2.203164
25.760000 40.540000 1.822621
25.760000 42.030000 1.519237
25.760000 43.510000 1.280132
27.240000 0.500000 1.148952
27.240000 1.980000 1.360242
27.240000 3.470000 1.621480
27.240000 4.950000 1.950911
27.240000 6.430000 2.370234
27.240000 7.920000 2.899588
27.240000 9.400000 3.569021
27.240000 10.880000 4.429868
27.240000 12.370000 5.535421
27.240000 13.850000 6.925051
27.240000 15.330000 8.633855
27.240000 16.810000 10.654950
27.240000 18.300000 12.835190
27.240000 19.780000 14.838557
27.240000 21.260000 16.239499
27.240000 22.750000 16.632756
27.240000 24.230000 15.872774
27.240000 25.710000 14.219744
27.240000 27.200000 12.102946
27.240000 28.680000 9.951367
27.240000 30.160000 8.031286
